employeenumber,age,attrition,businesstravel,dailyrate,distancefromhome,education,educationfield,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,remotework
7720,32,No,travel rarely,430.0,24,4,life sciences,1,Male,80,3,2, laboratory technician ,4,married,53090.0,21146,1,No,15,3.2,4,2,10.0,2,3.0,10,4,7,1991,Yes
8360,42,No,travel rarely,933.0,29,3,life sciences,2,Male,98,3,2, manufacturing director ,2,married,48620.0,11806,1,No,13,3.0,4,1,10.0,3,2.0,9,7,8,1981,Yes
8400,49,Yes,travel rarely,1184.0,11,3,marketing,3,Female,43,3,3, sales executive ,4,married,76540.0,5860,1,No,18,3.0,1,2,10.0,3,4.0,9,7,7,1974,No
8440,27,No,travel rarely,803.1,5,1,life sciences,3,Male,42,2,3, research director ,4,divorced,128080.0,8842,1,No,16,3.0,2,1,10.0,3,3.0,9,0,8,1996,Yes
8670,52,No,travel rarely,890.0,26,4,life sciences,3,Female,81,2,4, manufacturing director ,4,married,48620.0,19028,3,No,22,4.0,3,0,31.0,3,3.0,9,0,0,1971,No
8890,32,No,travel rarely,379.0,5,2,life sciences,2,Male,48,3,2, sales executive ,2,married,48620.0,8891,1,No,14,3.0,4,1,10.0,3,3.0,10,5,3,1991,Yes
9240,36,No,travel rarely,1425.0,14,1,life sciences,3,Male,68,3,2, healthcare representative ,4,married,65860.0,4821,0,No,17,3.0,1,1,10.0,2,2.0,16,4,11,1987,No
9760,52,No,travel rarely,1053.0,1,2,life sciences,4,Male,70,3,4, manager ,4,married,170990.0,13829,2,No,15,3.0,2,1,26.0,2,2.8,9,7,8,1971,Yes
9920,33,No,non travel,722.0,17,3,life sciences,4,Male,38,3,4, manager ,3,single,48620.0,20489,1,No,11,3.0,4,0,10.0,2,3.0,10,6,0,1990,No
10020,45,No,non travel,248.0,23,2,life sciences,4,Male,42,3,2, laboratory technician ,1,married,48620.0,14039,1,Yes,15,3.0,3,1,9.0,2,3.0,9,0,8,1978,Yes
10730,36,No,travel rarely,796.0,12,5,life sciences,4,Female,51,2,3, manufacturing director ,4,married,48620.0,15669,0,No,11,3.0,2,0,15.0,2,2.0,14,7,8,1987,Yes
11380,49,No,travel rarely,174.0,8,4,life sciences,4,Male,56,2,4, sales executive ,2,married,131200.0,11879,6,No,17,3.0,2,1,22.0,3,3.0,9,2,3,1974,No
11920,29,No,travel rarely,803.1,6,1,life sciences,2,Female,54,3,1, laboratory technician ,4,married,31310.0,26342,1,No,13,3.0,1,1,10.0,5,3.0,10,0,8,1994,No
11960,37,No,travel rarely,977.0,1,3,life sciences,4,Female,56,2,2, manufacturing director ,4,married,48620.0,9961,1,No,13,3.0,2,1,14.0,2,2.0,14,3,11,1986,Yes
13150,28,No,non travel,1476.0,1,3,life sciences,3,Female,55,1,2, laboratory technician ,4,married,66740.0,16392,0,No,11,3.0,1,3,10.0,6,3.0,9,7,5,1995,Yes
13240,31,No,non travel,587.0,2,4,life sciences,4,Female,57,3,3, sales executive ,3,married,98520.0,8935,1,Yes,19,3.0,1,1,10.0,5,2.0,10,9,6,1992,Yes
13340,42,No,non travel,495.0,2,1,life sciences,3,Male,0,3,4, manager ,3,married,178610.0,26582,0,Yes,13,3.2,4,0,21.0,3,2.0,20,2,10,1981,No
13460,40,No,travel rarely,523.0,2,3,life sciences,3,Male,98,3,2, research scientist ,4,single,48620.0,22455,1,No,13,3.0,3,0,9.0,4,3.0,9,8,8,1983,Yes
13560,34,No,travel rarely,507.0,15,2,medical,3,Female,66,3,2, sales executive ,1,single,48620.0,23553,1,No,12,3.0,4,0,10.0,6,4.0,10,9,6,1989,Yes
14230,58,No,travel rarely,1055.0,1,3,life sciences,4,Female,76,3,5, research director ,1,married,48620.0,22456,3,No,21,4.0,3,1,10.0,3,3.0,9,1,5,1965,No
14590,31,Yes,travel frequently,1445.0,1,5,life sciences,3,Female,100,4,3, manufacturing director ,2,married,74460.0,8931,1,No,11,3.0,1,0,10.0,2,3.0,10,4,7,1992,Yes
14720,53,No,travel rarely,447.0,2,3,medical,4,Male,39,4,4, research director ,2,single,165980.0,19764,4,No,12,3.0,2,0,35.0,2,2.0,9,8,8,1970,Yes
14850,34,No,travel rarely,829.0,15,3,life sciences,2,Male,71,3,4, research director ,1,married,48620.0,11929,7,No,14,3.0,4,2,16.0,3,2.0,14,6,9,1989,Yes
15430,37,No,travel rarely,674.0,13,3,life sciences,1,Male,47,3,2, research scientist ,4,married,42850.0,3031,1,No,17,3.0,1,0,10.0,2,3.0,10,3,7,1986,Yes
15470,42,No,travel frequently,803.1,2,3,life sciences,4,Male,40,3,3, healthcare representative ,4,married,101240.0,18611,2,Yes,14,3.0,3,1,24.0,3,1.0,20,13,9,1981,Yes
15530,45,No,travel rarely,538.0,1,4,life sciences,1,Male,66,3,3, healthcare representative ,2,divorced,48620.0,20933,1,No,12,3.0,1,3,10.0,4,3.0,10,7,7,1978,Yes
15620,30,Yes,travel rarely,740.0,1,3,life sciences,2,Male,64,2,2, sales executive ,1,married,97140.0,5323,1,No,11,3.0,4,1,10.0,4,3.0,10,6,7,1993,Yes
15820,38,No,travel rarely,1245.0,14,3,life sciences,3,Male,80,3,2, sales executive ,2,married,99240.0,12355,0,No,11,3.0,4,1,10.0,3,3.0,9,7,7,1985,Yes
16060,50,No,travel rarely,1234.0,20,5,medical,2,Male,41,3,4, healthcare representative ,3,married,112450.0,20689,2,No,15,3.0,3,1,32.0,3,3.0,30,12,13,1973,No
16580,34,No,travel rarely,1130.0,3,3,life sciences,4,Female,66,3,2, research scientist ,2,married,48620.0,19332,1,No,12,3.0,3,1,11.0,2,3.0,11,7,9,1989,Yes
16650,54,No,travel rarely,584.0,22,5,life sciences,2,Female,91,3,4, manager ,3,married,48620.0,18685,3,No,25,4.0,3,1,36.0,6,3.0,10,4,7,1969,Yes
17370,39,No,travel rarely,792.0,1,3,life sciences,4,Male,77,3,2, laboratory technician ,4,married,64720.0,8989,1,No,15,3.0,4,1,10.0,2,3.0,9,5,8,1984,Yes
17900,36,No,travel rarely,1383.0,10,3,life sciences,4,Male,90,3,3, healthcare representative ,1,married,83210.0,25949,7,No,13,3.0,4,1,15.0,1,3.0,12,5,7,1987,No
18230,34,No,travel rarely,803.1,8,2,life sciences,2,Male,92,4,2, sales executive ,3,married,48620.0,22128,1,No,21,4.0,3,2,10.0,5,3.0,10,4,8,1989,No
18570,46,No,travel rarely,706.0,2,2,life sciences,4,Male,82,3,3, manufacturing director ,4,divorced,85780.0,19989,3,No,14,3.0,3,1,12.0,4,2.0,9,4,7,1977,Yes
18640,27,No,travel rarely,728.0,23,1,medical,2,Female,36,2,2, sales representative ,3,married,48620.0,7018,1,No,21,4.0,4,1,10.0,5,3.0,9,5,8,1996,No
18810,31,No,travel rarely,311.0,36,3,life sciences,2,Male,89,3,2, laboratory technician ,3,divorced,41970.0,18624,1,No,11,3.0,1,1,10.0,2,3.0,10,0,2,1992,No
18880,45,No,travel rarely,556.0,25,2,life sciences,2,Female,93,2,2, manufacturing director ,4,married,48620.0,23888,0,No,13,3.2,4,2,10.0,2,2.0,9,3,8,1978,Yes
19500,34,No,travel rarely,937.0,1,3,marketing,1,Male,32,3,3, sales executive ,4,married,98880.0,6770,1,No,21,4.0,1,0,14.0,3,2.0,14,2,1,1989,No
19620,35,No,travel rarely,1224.0,7,4,life sciences,3,Female,55,3,2, sales executive ,4,married,48620.0,13586,1,Yes,11,3.0,4,0,10.0,2,3.0,10,0,9,1988,No
19750,39,No,travel rarely,119.0,15,4,marketing,2,Male,77,3,4, sales executive ,1,single,133410.0,25098,0,No,12,3.0,1,0,21.0,3,3.0,20,11,10,1984,No
19860,40,No,travel rarely,444.0,2,2,marketing,2,Female,92,3,2, sales executive ,2,married,56770.0,4258,3,No,14,3.0,3,1,10.0,4,3.0,11,5,10,1983,Yes
20000,47,No,travel rarely,803.1,1,1,life sciences,3,Female,98,3,3, research director ,2,married,48620.0,17231,0,No,18,3.0,1,2,14.0,3,1.0,13,5,12,1976,Yes
20,49,No,travel frequently,803.1,8,1,life sciences,3,Male,61,2,2, research scientist ,2,married,48620.0,24907,1,No,23,4.0,4,1,10.0,3,3.0,10,1,7,1974,Yes
50,33,No,travel frequently,1392.0,19,4,life sciences,19,Female,56,3,1, research scientist ,3,married,29090.0,23159,1,No,11,3.0,3,0,10.0,3,3.0,8,3,0,1990,Yes
350,42,No,travel rarely,803.1,8,4,life sciences,3,Male,48,3,2, sales executive ,2,married,68250.0,21173,0,No,11,3.2,4,1,10.0,2,3.0,9,4,2,1981,No
760,31,No,travel rarely,655.0,7,4,life sciences,4,Male,48,3,2, laboratory technician ,4,divorced,48620.0,9528,3,No,22,4.0,4,1,10.0,3,2.0,7,1,7,1992,No
980,31,No,travel rarely,746.0,8,4,life sciences,3,Female,61,3,2, manufacturing director ,4,single,44240.0,20682,1,No,23,4.0,4,0,11.0,2,3.0,11,1,8,1992,No
1200,51,No,travel rarely,632.0,21,4,marketing,3,Male,71,3,2, sales executive ,4,married,54410.0,8423,0,No,22,4.0,4,0,11.0,2,1.0,10,1,0,1972,Yes
1470,34,Yes,travel frequently,658.0,7,3,life sciences,1,Male,66,1,2, laboratory technician ,3,married,60740.0,22887,1,Yes,24,4.0,4,0,9.0,3,2.8,9,0,6,1989,Yes
1540,36,No,travel rarely,1467.0,11,2,technical degree,2,Female,92,3,3, sales executive ,4,married,48620.0,22952,0,No,14,3.0,3,1,10.0,6,3.0,9,2,8,1987,No
1590,30,No,travel frequently,1312.0,23,3,life sciences,1,Male,96,1,1, research scientist ,3,divorced,48620.0,22310,1,No,25,4.0,3,3,10.0,2,2.0,10,0,9,1993,No
1600,33,No,non travel,750.0,12,2,life sciences,12,Male,95,3,2, sales executive ,2,married,61460.0,15480,0,No,13,3.0,1,1,10.0,2,4.0,7,0,7,1990,Yes
1630,31,Yes,travel rarely,249.0,6,4,life sciences,2,Male,76,1,2, sales executive ,3,married,61720.0,20739,4,No,18,3.0,2,0,10.0,3,2.0,7,7,7,1992,No
1760,41,No,travel rarely,802.0,23,1,life sciences,3,Male,96,3,3, sales executive ,3,divorced,48620.0,21196,3,Yes,13,3.0,3,1,10.0,2,3.0,9,0,7,1982,No
1770,26,No,travel rarely,1355.0,25,1,life sciences,3,Female,61,3,1, human resources ,3,married,48620.0,8916,1,No,23,4.0,4,1,8.0,3,3.0,8,5,7,1997,Yes
1950,32,No,travel rarely,689.0,9,2,life sciences,4,Male,35,1,2, sales executive ,4,divorced,46680.0,22812,0,No,17,3.0,4,3,10.0,2,4.0,8,0,7,1991,Yes
2020,40,No,travel frequently,1395.0,26,3,life sciences,2,Female,54,3,2, research scientist ,2,divorced,56050.0,8504,1,No,11,3.0,1,1,20.0,2,3.0,20,2,13,1983,No
2050,53,No,travel rarely,1436.0,6,2,marketing,2,Male,34,3,2, sales representative ,3,married,48620.0,16047,2,Yes,20,4.0,4,1,13.0,3,1.0,7,4,5,1970,Yes
2520,33,No,travel rarely,803.1,14,3,life sciences,4,Female,0,3,1, research scientist ,2,married,48620.0,4673,1,No,13,3.0,4,1,8.0,5,3.0,8,1,6,1990,Yes
2580,51,No,travel rarely,313.0,3,3,life sciences,4,Female,98,3,4, healthcare representative ,2,single,48620.0,7192,3,No,18,3.0,3,0,10.0,6,3.0,7,1,0,1972,No
2600,27,No,travel rarely,894.0,9,3,medical,4,Female,99,3,1, research scientist ,2,single,48620.0,11781,1,No,16,3.0,4,0,10.0,2,2.0,7,0,3,1996,No
2670,37,No,travel rarely,290.0,21,3,life sciences,2,Male,65,4,1, research scientist ,1,married,35640.0,22977,1,Yes,12,3.0,1,1,10.0,3,2.0,8,1,7,1986,Yes
2750,49,No,non travel,1002.0,18,4,life sciences,4,Male,92,3,2, manufacturing director ,4,divorced,68040.0,23793,1,Yes,15,3.0,1,2,7.0,0,3.0,7,1,7,1974,No
2930,27,No,travel rarely,1242.0,20,3,life sciences,4,Female,90,3,2, sales executive ,3,single,48620.0,12916,1,No,14,3.0,4,0,7.0,2,3.0,7,0,7,1996,No
3020,45,No,travel rarely,1052.0,6,3,medical,4,Female,57,2,3, sales executive ,4,single,48620.0,16840,6,No,12,3.0,4,0,23.0,2,3.0,19,12,8,1978,Yes
3140,35,No,travel rarely,944.0,1,3,life sciences,3,Female,92,3,3, sales executive ,3,single,48620.0,9096,1,No,14,3.0,1,0,10.0,3,4.0,10,0,8,1988,Yes
3290,52,No,travel rarely,771.0,2,4,life sciences,1,Male,79,2,5, manager ,3,married,48620.0,21030,1,Yes,18,3.0,4,0,33.0,2,4.0,33,15,12,1971,Yes
3610,38,No,non travel,1327.0,2,2,life sciences,4,Male,39,2,2, sales executive ,4,married,48620.0,19682,3,No,18,3.0,4,1,13.0,0,3.0,8,7,5,1985,Yes
3630,46,No,travel rarely,488.0,27,3,life sciences,27,Female,75,1,4, manager ,2,married,48620.0,14977,3,Yes,12,3.0,2,1,28.0,2,2.0,7,7,7,1977,No
3760,47,Yes,non travel,666.0,10,4,life sciences,1,Male,88,3,3, manager ,2,married,48620.0,10268,1,No,12,3.0,4,1,10.0,2,2.0,10,9,9,1976,Yes
3810,35,No,travel rarely,1315.0,22,3,life sciences,2,Female,71,4,3, manager ,2,divorced,48620.0,19100,7,No,18,3.2,2,1,10.0,6,2.0,7,6,2,1988,No
3880,29,No,travel frequently,442.0,2,2,life sciences,2,Male,44,3,2, sales executive ,4,single,48620.0,20260,1,No,18,3.0,1,0,10.0,3,2.8,10,0,9,1994,Yes
3890,55,No,travel rarely,147.0,20,2,technical degree,2,Male,37,3,2, laboratory technician ,4,married,48620.0,15972,3,No,19,3.2,4,1,12.0,4,3.0,10,0,8,1968,Yes
4010,26,Yes,travel rarely,950.0,45,4,life sciences,4,Male,48,2,2, sales executive ,4,single,58280.0,8450,1,No,12,3.0,2,0,10.0,0,2.8,8,7,4,1997,Yes
4160,31,No,travel rarely,218.0,7,3,technical degree,2,Male,100,4,2, sales executive ,4,married,48620.0,12241,4,No,11,3.0,2,1,10.0,3,2.0,8,7,7,1992,Yes
4300,43,No,travel frequently,803.1,10,4,life sciences,3,Female,33,3,1, laboratory technician ,4,married,24550.0,10675,0,No,19,3.0,1,0,10.0,5,3.0,8,1,7,1980,Yes
4380,31,No,travel rarely,691.0,13,3,marketing,4,Male,73,3,2, sales executive ,4,married,48620.0,7143,4,No,12,3.0,4,3,13.0,3,3.0,7,1,7,1992,Yes
4460,33,No,travel rarely,803.1,10,3,life sciences,2,Male,46,2,2, sales executive ,4,married,46820.0,4317,3,No,14,3.0,3,0,10.0,6,2.0,7,0,1,1990,No
4480,43,No,travel frequently,559.0,10,4,life sciences,3,Female,82,2,2, laboratory technician ,3,divorced,52570.0,6227,1,No,11,3.2,2,1,9.0,3,4.0,9,0,0,1980,No
4540,29,Yes,travel rarely,318.0,8,4,life sciences,2,Male,77,1,1, laboratory technician ,1,married,21190.0,4759,1,No,11,3.0,4,0,7.0,4,2.0,7,0,7,1994,No
4580,27,No,travel rarely,1130.0,8,4,life sciences,2,Female,56,3,2, sales executive ,2,married,48620.0,3415,1,No,18,3.0,1,1,8.0,3,3.0,8,0,7,1996,No
4760,26,No,travel rarely,933.0,1,3,life sciences,3,Male,57,3,2, sales executive ,3,married,48620.0,20156,1,No,17,3.0,2,1,10.0,3,3.0,8,7,7,1997,Yes
4830,40,No,travel rarely,1171.0,10,4,life sciences,4,Female,46,4,1, laboratory technician ,3,married,48620.0,22495,3,Yes,13,3.0,3,1,10.0,3,3.0,7,1,7,1983,Yes
4880,41,Yes,travel rarely,143.0,4,3,life sciences,1,Male,56,3,2, sales executive ,2,married,48620.0,9558,1,No,18,3.0,3,0,8.0,5,3.0,8,7,7,1982,No
5000,51,No,travel rarely,1178.0,14,2,life sciences,3,Female,87,3,2, sales executive ,4,married,48620.0,14862,4,No,11,3.0,3,1,18.0,2,2.0,7,0,7,1972,Yes
5340,41,No,travel rarely,645.0,1,3,marketing,2,Male,49,4,3, sales executive ,1,married,83920.0,19566,1,No,16,3.0,3,1,10.0,2,3.0,10,0,7,1982,Yes
5860,35,No,travel rarely,1276.0,16,3,life sciences,4,Male,72,3,3, healthcare representative ,3,married,48620.0,14295,4,Yes,12,3.0,3,0,10.0,2,3.0,8,0,0,1988,No
5950,48,No,travel rarely,163.0,2,5,life sciences,2,Female,37,3,2, sales executive ,4,married,40510.0,19658,2,No,14,3.0,1,1,14.0,2,3.0,9,6,7,1975,Yes
6080,26,Yes,travel frequently,426.0,17,4,life sciences,2,Female,58,3,1, human resources ,3,married,27410.0,22808,0,Yes,11,3.0,2,1,8.0,2,2.8,7,1,0,1997,Yes
6160,41,No,travel rarely,509.0,2,4,other,1,Female,62,2,2, healthcare representative ,3,single,48620.0,2112,2,Yes,17,3.0,1,0,10.0,3,3.0,8,0,7,1982,Yes
6210,34,No,travel rarely,258.0,21,4,life sciences,4,Male,74,4,2, sales executive ,4,single,53370.0,19921,1,No,12,3.0,4,0,10.0,3,3.0,10,5,7,1989,Yes
6530,31,No,travel rarely,525.0,6,4,medical,1,Male,66,4,2, sales executive ,4,divorced,48620.0,6219,4,No,22,4.0,4,2,13.0,4,4.0,7,5,7,1992,Yes
6630,43,No,travel frequently,803.1,9,5,life sciences,4,Male,72,3,2, laboratory technician ,3,divorced,48620.0,19627,3,No,13,3.0,2,1,10.0,3,3.0,8,4,7,1980,No
6820,53,No,travel rarely,238.0,1,1,life sciences,4,Female,34,3,2, sales executive ,1,single,48620.0,7507,7,No,20,4.0,4,0,18.0,2,4.0,14,8,10,1970,No
7100,29,No,travel rarely,806.0,1,4,life sciences,2,Male,76,1,1, research scientist ,4,divorced,48620.0,18959,1,No,18,3.0,4,1,10.0,5,3.0,10,2,8,1994,Yes
7170,34,No,travel rarely,1442.0,9,3,medical,4,Female,46,2,3, healthcare representative ,2,married,48620.0,17654,1,No,14,3.0,2,0,9.0,3,4.0,8,7,7,1989,No
7210,39,No,travel rarely,408.0,2,4,technical degree,4,Female,80,2,2, healthcare representative ,3,single,48620.0,20978,1,No,11,3.0,1,0,20.0,4,3.0,20,11,10,1984,No
7220,32,No,travel rarely,929.0,10,3,marketing,4,Male,55,3,2, sales executive ,4,married,53960.0,21703,1,No,12,3.0,4,0,10.0,2,2.0,10,0,8,1991,Yes
7240,38,No,travel rarely,827.0,1,4,life sciences,2,Female,33,4,2, healthcare representative ,4,married,48620.0,19383,0,No,13,3.0,3,0,10.0,4,2.8,9,1,8,1985,Yes
7250,27,No,travel rarely,803.1,1,2,life sciences,3,Female,0,3,3, manufacturing director ,1,married,48620.0,6009,1,No,11,3.0,4,0,9.0,3,3.0,9,0,7,1996,No
7280,47,No,travel rarely,703.0,35,4,marketing,4,Male,42,3,2, sales executive ,1,single,49600.0,11825,2,No,12,3.0,4,0,20.0,2,3.0,7,1,7,1976,No
7330,27,No,travel frequently,294.0,10,2,life sciences,4,Male,32,3,3, manufacturing director ,1,married,87930.0,4809,1,No,21,4.0,3,2,9.0,4,2.0,9,1,7,1996,Yes
7340,41,No,travel rarely,314.0,1,3,life sciences,4,Male,59,2,5, manager ,3,married,191890.0,19562,1,No,12,3.2,2,1,22.0,3,3.0,22,2,10,1982,No
7420,36,No,travel rarely,427.0,8,3,life sciences,1,Female,63,4,3, research director ,1,married,117130.0,20335,9,No,14,3.0,1,1,10.0,2,3.0,8,0,5,1987,No
7470,30,No,travel rarely,501.0,27,5,marketing,3,Male,99,3,2, sales executive ,4,divorced,53040.0,25275,7,No,23,3.2,4,1,10.0,2,2.0,8,7,7,1993,Yes
7620,56,No,travel rarely,803.1,9,3,life sciences,3,Male,81,3,4, healthcare representative ,4,married,111030.0,20420,7,No,11,3.0,3,0,30.0,1,2.0,10,1,1,1967,No
7830,45,No,travel rarely,954.0,2,2,life sciences,2,Male,46,1,2, sales representative ,3,single,66320.0,12388,0,No,13,3.0,1,0,9.0,3,3.0,8,3,1,1978,Yes
7890,36,No,non travel,1434.0,8,4,life sciences,1,Male,76,2,3, sales executive ,1,single,75870.0,14229,1,No,15,3.0,2,0,10.0,1,3.0,10,0,9,1987,No
7930,29,No,travel rarely,657.0,27,3,medical,2,Female,66,3,2, healthcare representative ,3,married,43350.0,25549,4,No,12,3.0,1,1,11.0,3,2.0,8,1,1,1994,Yes
8030,38,No,travel rarely,240.0,2,4,life sciences,1,Female,75,4,2, manufacturing director ,1,single,59800.0,26085,6,No,12,3.0,4,0,17.0,2,3.0,15,4,12,1985,Yes
8090,42,No,travel frequently,570.0,8,3,life sciences,2,Male,66,3,5, manager ,4,married,48620.0,16225,1,No,13,3.0,2,1,24.0,4,2.0,24,14,9,1981,Yes
8230,36,No,travel rarely,676.0,1,3,other,3,Female,35,3,2, manufacturing director ,2,married,52280.0,23361,0,No,15,3.0,1,1,10.0,2,3.0,9,0,5,1987,No
8420,55,Yes,travel rarely,436.0,2,1,medical,3,Male,37,3,2, sales executive ,4,single,48620.0,21519,4,No,16,3.0,3,0,10.0,3,2.0,9,7,3,1968,No
9130,44,No,travel rarely,661.0,9,2,life sciences,2,Male,61,3,1, research scientist ,1,married,48620.0,7508,1,Yes,13,3.0,4,0,8.0,0,3.0,8,7,1,1979,Yes
9270,41,Yes,travel rarely,1085.0,2,4,life sciences,2,Female,57,1,1, laboratory technician ,4,divorced,48620.0,17725,4,Yes,13,3.0,3,1,10.0,1,2.0,7,1,0,1982,Yes
9410,31,No,travel rarely,154.0,7,4,life sciences,2,Male,41,2,1, sales representative ,3,married,23290.0,11737,3,No,15,3.2,2,0,10.0,2,4.0,7,5,2,1992,No
9560,26,No,travel frequently,1283.0,28,3,medical,28,Male,52,2,2, sales executive ,1,married,42940.0,11148,1,No,12,3.0,2,0,10.0,2,3.0,7,0,7,1997,Yes
9660,32,No,travel rarely,498.0,3,4,medical,3,Female,93,3,2, manufacturing director ,1,married,67250.0,13554,1,No,12,3.0,3,1,8.0,2,4.0,8,6,3,1991,No
9670,36,Yes,travel rarely,530.0,3,1,life sciences,3,Male,51,2,3, sales executive ,4,married,103250.0,5518,1,No,11,3.2,1,1,10.0,6,3.0,16,3,7,1987,No
9720,45,No,non travel,805.0,47,2,life sciences,47,Male,57,3,2, laboratory technician ,2,married,44470.0,23163,1,No,12,3.0,2,0,10.0,5,2.0,9,0,8,1978,Yes
9900,36,No,non travel,1229.0,8,4,technical degree,1,Male,84,3,2, sales executive ,4,divorced,48620.0,25952,4,No,13,3.2,4,2,12.0,3,3.0,7,0,7,1987,Yes
10130,54,No,travel rarely,1441.0,17,3,technical degree,3,Female,56,3,3, manufacturing director ,3,married,48620.0,13943,8,No,11,3.2,3,1,22.0,2,3.0,10,0,8,1969,Yes
10150,30,No,travel rarely,153.0,8,2,life sciences,2,Female,73,4,3, research director ,1,married,48620.0,17802,0,Yes,12,3.0,3,3,10.0,4,2.0,8,1,7,1993,Yes
10180,26,No,travel rarely,1066.0,2,2,medical,4,Male,32,4,2, manufacturing director ,4,married,54720.0,3334,1,No,12,3.0,2,0,10.0,2,3.0,8,1,3,1997,No
10340,55,No,travel frequently,135.0,18,4,medical,3,Male,62,3,2, healthcare representative ,2,married,63850.0,12992,3,No,14,3.0,4,2,10.0,3,3.0,8,6,7,1968,Yes
10460,32,No,non travel,1109.0,29,4,life sciences,4,Female,69,3,1, laboratory technician ,3,single,48620.0,11135,9,No,12,3.0,2,0,10.0,2,3.0,8,7,7,1991,Yes
10500,53,No,travel frequently,124.0,2,3,marketing,3,Female,38,2,3, sales executive ,2,married,75250.0,23537,2,No,12,3.0,1,1,30.0,2,2.8,15,6,12,1970,Yes
10740,55,No,travel rarely,444.0,2,1,life sciences,3,Male,40,2,4, manager ,1,single,48620.0,17323,7,No,15,3.0,2,0,10.0,3,4.0,9,6,2,1968,Yes
10820,28,Yes,non travel,1366.0,24,2,life sciences,2,Male,72,2,3, healthcare representative ,1,single,48620.0,12355,1,No,12,3.0,1,0,10.0,2,2.0,10,1,9,1995,No
10970,28,No,travel rarely,857.0,10,3,other,3,Female,59,3,2, research scientist ,3,single,36600.0,7909,3,No,13,3.0,4,0,10.0,4,4.0,8,1,7,1995,Yes
11000,35,Yes,travel rarely,1204.0,4,3,technical degree,4,Male,86,3,3, sales executive ,1,married,48620.0,10333,0,No,22,4.0,1,0,9.0,2,3.0,8,4,7,1988,Yes
11010,33,Yes,travel frequently,827.0,36,4,medical,36,Female,54,2,2, research scientist ,3,single,48620.0,3129,1,No,22,4.0,2,0,14.0,4,3.0,13,3,8,1990,Yes
11060,25,Yes,travel rarely,1219.0,4,1,technical degree,4,Male,32,3,1, laboratory technician ,4,married,48620.0,4605,1,No,15,3.2,2,1,7.0,3,4.0,7,5,6,1998,Yes
11190,38,No,travel rarely,770.0,10,4,life sciences,3,Male,0,2,3, sales executive ,3,married,87400.0,5569,0,Yes,14,3.0,2,2,9.0,2,2.8,8,2,7,1985,Yes
11260,43,No,travel frequently,1082.0,27,3,life sciences,3,Female,83,3,3, manufacturing director ,1,married,48620.0,11535,8,No,11,3.0,3,1,18.0,1,3.0,8,0,1,1980,No
11280,40,No,travel rarely,1308.0,14,3,life sciences,3,Male,44,2,5, research director ,3,married,48620.0,17544,1,No,14,3.2,1,0,10.0,2,2.8,20,4,9,1983,Yes
11770,26,No,travel rarely,1384.0,3,4,life sciences,1,Male,82,4,1, laboratory technician ,4,married,48620.0,13421,1,No,22,4.0,2,1,8.0,2,3.0,8,0,7,1997,Yes
11820,35,No,travel rarely,819.0,2,3,life sciences,3,Male,44,2,3, manufacturing director ,2,divorced,48620.0,19588,2,No,18,3.0,2,1,15.0,2,4.0,7,6,4,1988,Yes
12010,53,No,travel rarely,1223.0,7,2,medical,4,Female,50,3,5, manager ,3,divorced,48620.0,18640,3,No,18,3.0,2,1,26.0,6,3.0,7,4,7,1970,No
12180,35,No,travel rarely,1361.0,17,4,life sciences,3,Male,94,3,2, sales executive ,1,married,48620.0,21026,3,No,15,3.0,4,3,15.0,2,3.0,7,1,7,1988,Yes
12200,33,No,travel rarely,1146.0,25,3,medical,2,Female,0,3,2, sales executive ,3,married,48620.0,4905,1,No,12,3.0,1,1,10.0,3,2.0,10,0,1,1990,Yes
12240,30,No,travel rarely,853.0,7,4,life sciences,3,Male,49,3,2, laboratory technician ,3,divorced,34910.0,11309,1,No,13,3.2,1,3,10.0,4,2.0,10,8,9,1993,Yes
12350,32,No,travel rarely,1316.0,2,2,life sciences,4,Female,38,3,2, research scientist ,3,single,48620.0,2338,4,Yes,14,3.0,4,0,10.0,2,3.0,8,0,7,1991,No
12370,36,No,travel rarely,363.0,1,3,technical degree,3,Female,0,1,3, manufacturing director ,1,divorced,102520.0,4235,2,Yes,21,4.0,3,1,17.0,2,3.0,7,7,7,1987,Yes
12550,43,No,travel rarely,920.0,3,3,life sciences,3,Male,96,1,5, research director ,4,married,197400.0,18625,3,No,14,3.0,2,1,10.0,2,3.0,8,0,7,1980,Yes
12640,29,No,travel rarely,694.0,1,3,life sciences,4,Female,0,2,4, research director ,4,divorced,48620.0,3423,3,No,14,3.0,2,2,9.0,2,2.0,7,1,7,1994,Yes
12830,59,No,travel rarely,1429.0,24,4,life sciences,24,Male,67,3,3, manufacturing director ,4,single,48620.0,20002,6,No,12,3.0,4,0,10.0,6,2.0,9,5,4,1964,No
12930,43,No,travel rarely,531.0,4,4,marketing,4,Female,56,2,3, sales executive ,4,single,48620.0,20364,3,No,14,3.0,4,0,23.0,3,4.0,21,15,17,1980,Yes
