unnamed: 0,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,roledepartament,remotework
443,44,No,,602.0,,1,5,,"1642,0",1,Male,37,3,2, human resources ,4,Married,,10503,4,Yes,11,"3,0",3,0,"14,0",3,"3,0",10,,0,2,,1979,,True
444,25,No,,772.0,,2,1,life sciences,"1653,0",4,Male,77,4,2, manufacturing director ,3,Divorced,"5206,0",4973,1,,17,"3,0",3,2,"7,0",6,"3,0",7,,0,7,"5206,0",1998,,False
445,49,No,,809.0,,1,3,,,3,Male,36,3,4, manager ,3,Single,,22384,4,,14,"3,0",1,0,"23,0",2,"3,0",8,,0,0,,1974,,True
446,48,Yes,travel frequently,,,7,2,,"1691,0",4,Female,95,3,1, sales representative ,3,,"2655,0",11740,2,,11,,3,2,"19,0",3,"3,0",9,,7,7,"2655,0",1975,,0
447,26,No,,786.0,,7,3,medical,"1693,0",4,Male,76,3,1, laboratory technician ,4,,"2570,0",11925,1,No,20,"4,0",3,0,"7,0",5,"3,0",7,,5,7,"2570,0",1997,,1
448,44,No,travel rarely,921.0,,2,3,life sciences,"1703,0",3,Female,96,4,3, healthcare representative ,4,,,14810,1,,19,,2,1,,2,"3,0",8,,6,7,,1979,,1
449,36,No,,530.0,,2,4,,,3,Female,51,3,2, sales representative ,4,Single,"4502,0",7439,3,,15,,3,0,"17,0",2,"2,0",13,,6,7,"4502,0",1987,,Yes
450,46,No,,717.0, research & development ,13,4,,"1727,0",3,Male,34,3,2, healthcare representative ,2,Single,,9697,6,No,14,"3,0",4,0,"19,0",3,"3,0",10,,0,9,,1977, healthcare representative  -  research & development ,True
451,35,No,,1370.0,,27,4,life sciences,"1728,0",4,Male,49,3,2, manufacturing director ,3,Married,,5151,2,,16,"3,0",2,1,"17,0",3,"3,0",7,,0,7,,1988,,Yes
452,30,No,travel frequently,1312.0,,2,4,,"1745,0",4,Female,78,2,1, research scientist ,1,,"4968,0",26427,0,,16,"3,0",4,0,"10,0",2,,9,,0,7,"4968,0",1993,,False
453,30,No,,979.0,,15,2,marketing,"1754,0",3,Male,94,2,3, sales executive ,1,,,3088,2,No,11,"3,0",1,1,,2,"3,0",7,,1,7,,1993,,1
454,33,No,non travel,1283.0,,2,3,marketing,"1756,0",4,Female,62,3,2, sales executive ,2,,"5147,0",10697,8,No,15,"3,0",4,0,"13,0",2,"2,0",11,,1,7,"5147,0",1990,,True
455,32,No,,953.0,,5,4,,"1764,0",2,Male,65,3,1, research scientist ,2,Single,"2718,0",17674,2,No,14,"3,0",2,0,"12,0",3,"3,0",7,,0,7,"2718,0",1991,,1
456,43,No,travel rarely,244.0,,2,3,life sciences,"1778,0",2,Male,97,3,1, human resources ,4,,"3539,0",5033,0,No,13,"3,0",2,0,,5,"3,0",9,,1,8,"3539,0",1980,,False
457,31,No,travel rarely,196.0,,29,4,marketing,,1,Female,91,2,2, sales executive ,4,,"5468,0",13402,1,,14,"3,0",1,2,,3,"3,0",12,,5,7,"5468,0",1992,,1
458,35,Yes,,303.0,,27,3,,"1797,0",3,Male,84,3,2, sales executive ,4,,"5813,0",13492,1,,18,"3,0",4,0,,2,"3,0",10,,7,7,"5813,0",1988,,False
459,35,No,non travel,1180.0, research & development ,2,2,medical,"1804,0",2,Male,90,3,2, manufacturing director ,4,Divorced,,24442,2,No,14,"3,0",3,1,"15,0",6,"3,0",7,,1,7,,1988, manufacturing director  -  research & development ,0
460,30,No,,1092.0,,10,3,medical,"1816,0",1,Female,64,3,3, manufacturing director ,3,Single,"9667,0",2739,9,No,14,"3,0",2,0,"9,0",3,"3,0",7,,0,2,"9667,0",1993,,False
461,46,Yes,travel rarely,261.0,,19,2,medical,"1821,0",4,Female,66,3,2, healthcare representative ,2,Married,,10842,4,No,22,"4,0",4,1,"13,0",2,"4,0",9,"7,0",3,7,,1977,,0
462,45,No,non travel,589.0,,2,4,,,3,Female,67,3,2, sales executive ,3,Married,"5154,0",19665,4,,22,"4,0",2,2,"10,0",3,"4,0",8,,5,7,"5154,0",1978,,False
463,43,No,travel frequently,1422.0,,2,4,life sciences,"1849,0",1,Male,92,3,2, sales executive ,4,Married,"5675,0",19246,1,,20,"4,0",3,1,"7,0",5,"3,0",7,,7,7,"5675,0",1980,,0
464,46,Yes,,,,10,3,life sciences,"1869,0",3,Female,64,3,3, sales executive ,2,,"7314,0",14011,5,,21,"4,0",3,3,"14,0",2,"3,0",8,,0,7,"7314,0",1977,,1
465,40,No,travel rarely,1137.0, research & development ,1,4,,,1,Male,98,3,4, manager ,1,,,18991,2,,11,"3,0",1,1,"22,0",3,,19,,11,16,,1983, manager  -  research & development ,True
466,27,No,travel rarely,511.0, sales ,2,2,,"1898,0",1,Female,89,4,2, sales executive ,3,Single,,26997,0,No,14,"3,0",2,0,"9,0",5,"2,0",8,,0,7,,1996, sales executive  -  sales ,False
467,42,No,,1396.0,,6,3,medical,"1911,0",3,Male,83,3,3, research director ,1,Married,,14842,9,No,13,"3,0",2,1,"18,0",3,"4,0",13,,5,7,,1981,,1
468,26,No,travel frequently,1096.0,,6,3,other,,3,Male,61,4,1, laboratory technician ,4,Married,,7102,0,No,18,"3,0",1,1,"8,0",3,"3,0",7,,7,7,,1997,,True
469,28,No,travel frequently,,,1,2,life sciences,"1927,0",3,Male,42,2,2, sales executive ,4,Married,,19255,1,,12,"3,0",3,1,"7,0",2,"3,0",7,,0,7,,1995,,True
470,47,No,,1169.0,,14,4,,"1934,0",3,Male,64,3,2, research scientist ,2,Married,,2125,8,,18,"3,0",3,1,,4,"4,0",8,,1,7,,1976,,0
471,34,No,travel rarely,1239.0,,13,4,medical,"1951,0",4,Male,39,3,3, sales executive ,3,Divorced,,22914,1,No,18,"3,0",3,1,"9,0",2,"2,0",8,,1,1,,1989,,1
472,26,No,,157.0, research & development ,1,3,medical,"1952,0",3,Male,95,3,1, laboratory technician ,1,Single,,20006,0,No,13,"3,0",4,0,"8,0",6,,7,,7,6,,1997, laboratory technician  -  research & development ,1
473,27,No,travel rarely,954.0,,9,3,,"1965,0",4,Male,44,3,2, sales executive ,4,,,5099,1,,14,"3,0",1,0,,5,,7,,0,7,,1996,,0
474,31,Yes,travel frequently,754.0, sales ,26,4,marketing,"1967,0",1,Male,63,3,2, sales executive ,4,,,21075,1,Yes,11,"3,0",3,0,"10,0",4,"3,0",10,,0,8,,1992, sales executive  -  sales ,Yes
475,33,No,travel frequently,1303.0,,7,2,life sciences,,4,Male,Not Available,3,2, healthcare representative ,3,Divorced,,18079,1,,20,,3,3,"9,0",2,"3,0",9,,2,8,,1990,,Yes
476,31,No,,697.0,,10,3,,"1979,0",3,Female,40,3,3, research director ,3,Married,,26862,4,No,20,"4,0",3,1,"13,0",2,"4,0",11,,4,8,,1992,,1
477,35,No,,1395.0,,9,4,medical,"2008,0",2,Male,48,3,2, research scientist ,3,,"5098,0",18698,1,No,19,"3,0",2,0,"10,0",5,"3,0",10,,0,8,"5098,0",1988,,1
478,33,No,travel rarely,501.0,,15,2,,"2009,0",2,Female,95,3,2, healthcare representative ,4,Married,,21653,0,Yes,13,,1,1,,6,"3,0",9,,8,1,,1990,,Yes
479,39,No,travel rarely,116.0,,24,1,life sciences,"2014,0",1,Male,52,3,2, research scientist ,4,Single,,5340,7,No,13,,1,0,,2,"3,0",7,,1,7,,1984,,False
480,36,No,travel rarely,557.0,,46,3,,,46,Female,94,2,3, sales executive ,4,Marreid,,12695,0,No,19,"3,0",3,2,"10,0",2,"3,0",9,,3,4,,1987,,Yes
481,41,No,travel rarely,582.0,,28,4,life sciences,"2034,0",1,Female,60,2,4, manufacturing director ,2,Married,"13570,0",5640,0,No,23,,3,1,"21,0",3,"3,0",20,,0,10,"13570,0",1982,,Yes
482,34,No,,704.0, sales ,28,3,marketing,"2035,0",4,Female,95,2,2, sales executive ,3,Married,"6712,0",8978,1,No,21,"4,0",4,2,"8,0",2,"3,0",8,,1,7,"6712,0",1989, sales executive  -  sales ,False
483,38,No,travel rarely,,,10,2,,,1,Female,100,3,2, sales executive ,4,Married,,5982,1,No,11,"3,0",3,1,"10,0",1,"3,0",10,,1,9,,1985,,1
484,39,No,travel rarely,613.0,,6,1,,"2062,0",4,Male,42,2,3, healthcare representative ,1,,"9991,0",21457,4,,15,"3,0",1,1,,5,"3,0",7,,1,7,"9991,0",1984,,1
485,34,No,travel rarely,419.0,,7,4,,"28,0",1,Female,53,3,3, research director ,2,Single,,21293,0,No,11,,3,0,,4,"3,0",12,"6,0",2,11,,1989,,0
486,44,No,travel rarely,477.0,,7,4,medical,,1,Female,42,2,3, healthcare representative ,4,Married,"10248,0",2094,3,,14,,4,1,"24,0",4,"3,0",22,,5,17,"10248,0",1979,,True
487,46,No,,1211.0,,5,4,,"62,0",1,Male,98,3,2, sales executive ,4,Single,,20445,4,,21,,3,0,"14,0",4,"3,0",9,,0,8,,1977,,Yes
488,41,No,travel frequently,857.0, research & development ,10,3,life sciences,"199,0",4,Male,91,2,4, manager ,1,Divorced,,12888,4,,13,"3,0",2,1,,2,"2,0",7,,7,7,,1982, manager  -  research & development ,0
489,39,No,,505.0, research & development ,2,4,,"343,0",3,Female,64,3,3, healthcare representative ,3,Single,"10938,0",6420,0,No,25,"4,0",4,0,"20,0",1,"3,0",19,,11,8,"10938,0",1984, healthcare representative  -  research & development ,0
490,42,No,travel rarely,269.0,,2,3,medical,"351,0",4,Female,56,2,1, laboratory technician ,1,Divorced,"2593,0",8007,0,Yes,11,"3,0",3,1,"10,0",4,"3,0",9,,7,8,"2593,0",1981,,True
491,33,No,travel frequently,553.0, research & development ,5,4,,"428,0",4,Female,74,3,3, manager ,2,Married,"11878,0",23364,6,,11,,2,2,"12,0",2,"3,0",10,,8,8,"11878,0",1990, manager  -  research & development ,True
492,35,No,travel rarely,1296.0,,5,4,technical degree,"464,0",3,Male,62,3,3, manufacturing director ,2,Single,"8095,0",18264,0,No,13,"3,0",4,0,"17,0",5,"3,0",16,,0,13,"8095,0",1988,,1
493,33,Yes,travel rarely,1277.0,,15,1,medical,,2,Male,56,3,3, manager ,3,Married,,24619,7,,12,"3,0",4,0,"15,0",2,"4,0",7,,7,7,,1990,,True
494,40,No,travel rarely,302.0,,6,3,life sciences,,2,Female,75,3,4, manufacturing director ,3,Single,,20364,7,No,15,"3,0",3,0,"22,0",3,"3,0",20,,5,13,,1983,,False
495,41,No,travel rarely,427.0,,10,4,human resources,"731,0",2,Male,73,2,5, manager ,4,Divorced,,8861,3,No,15,"3,0",2,3,"23,0",2,"2,0",21,,12,6,,1982,,0
496,27,No,,975.0,,7,3,,"764,0",4,Female,55,2,2, healthcare representative ,1,,,23398,8,No,19,"3,0",1,0,,2,"1,0",7,,0,7,,1996,,False
497,52,No,travel rarely,621.0,,3,4,marketing,,3,Male,31,2,4, manager ,1,,"16856,0",10084,1,,11,"3,0",1,0,,3,"4,0",34,,1,16,"16856,0",1971,,Yes
498,51,No,travel rarely,1318.0,,26,4,marketing,"851,0",1,Female,66,3,4, manager ,3,Married,,5594,2,No,14,"3,0",3,1,,2,"2,0",20,,4,17,,1972,,False
499,47,No,travel rarely,249.0,,2,2,marketing,"903,0",3,Female,35,3,2, sales executive ,4,,"4537,0",17783,0,,22,"4,0",1,1,"8,0",2,"3,0",7,,7,7,"4537,0",1976,,Yes
500,50,No,non travel,881.0, research & development ,2,4,,"905,0",1,Male,98,3,4, manager ,1,Divorced,"17924,0",4544,1,,11,"3,0",4,1,"31,0",3,"3,0",31,,14,7,"17924,0",1973, manager  -  research & development ,False
501,35,No,travel rarely,1137.0, research & development ,21,1,life sciences,"942,0",4,Female,51,3,2, healthcare representative ,4,Married,"4014,0",19170,1,,25,"4,0",4,1,"10,0",2,"1,0",10,,0,7,"4014,0",1988, healthcare representative  -  research & development ,True
502,39,No,travel rarely,466.0,,1,1,,"1026,0",4,Female,65,2,4, manufacturing director ,4,Married,"12742,0",7060,1,No,16,"3,0",3,1,,3,"3,0",21,,11,8,"12742,0",1984,,True
503,39,No,travel frequently,945.0,,22,3,medical,,4,Female,82,3,3, manufacturing director ,1,Single,,5083,1,,13,"3,0",3,0,,2,"3,0",21,,2,8,,1984,,0
504,41,No,,509.0,,7,2,,"1085,0",2,Female,43,4,1, research scientist ,3,,"3376,0",18863,1,No,13,"3,0",3,0,,3,"3,0",10,,0,8,"3376,0",1982,,False
505,44,Yes,,1376.0, human resources ,1,2,medical,,2,Male,91,2,3, human resources ,1,Married,"10482,0",2326,9,No,14,,4,1,"24,0",1,"3,0",20,,3,6,"10482,0",1979, human resources  -  human resources ,Yes
506,42,No,,469.0,,2,2,medical,"1109,0",4,Male,35,3,4, manager ,1,,,14399,0,No,17,"3,0",4,1,"23,0",3,"3,0",22,,13,7,,1981,,False
507,52,No,travel rarely,994.0,,7,4,life sciences,"1118,0",2,Male,87,3,3, healthcare representative ,2,Single,,15322,7,,19,"3,0",4,0,"18,0",4,,8,,4,0,,1971,,Yes
508,38,No,,433.0,,1,3,,"1152,0",3,Male,37,4,1, human resources ,3,,,6004,1,No,13,"3,0",4,1,"7,0",2,"4,0",7,,5,0,,1985,,1
509,46,No,,991.0, human resources ,1,2,life sciences,,4,Female,44,3,1, human resources ,1,,,22957,6,,12,"3,0",3,0,"10,0",3,"4,0",7,,5,7,,1977, human resources  -  human resources ,True
510,35,No,,482.0,,4,4,life sciences,"1350,0",3,Male,87,3,2, research scientist ,3,Single,"4249,0",2690,1,,11,"3,0",2,0,,3,"3,0",9,,1,1,"4249,0",1988,,False
511,28,No,travel rarely,1083.0, research & development ,29,1,life sciences,"1514,0",3,Male,96,1,2, manufacturing director ,2,Married,"6549,0",3173,1,,14,,2,2,"8,0",2,"2,0",8,,1,7,"6549,0",1995, manufacturing director  -  research & development ,1
512,44,No,,136.0,,28,3,life sciences,"1523,0",4,Male,32,3,4, research director ,1,Married,,22074,3,No,13,"3,0",3,1,,1,"4,0",20,,14,17,,1979,,1
513,50,No,,333.0,,22,5,,"1539,0",3,Male,88,1,4, research director ,4,,"14411,0",24450,1,,13,"3,0",4,0,,2,"3,0",32,,13,9,"14411,0",1973,,0
514,55,No,travel rarely,685.0,,23,5,marketing,,3,Male,60,2,5, manager ,4,,"19586,0",23037,1,No,21,"4,0",3,1,"36,0",3,"3,0",36,,2,13,"19586,0",1968,,1
515,39,No,,1462.0, sales ,6,3,,"1588,0",4,Male,38,4,3, sales executive ,3,Married,"8237,0",4658,2,No,11,"3,0",1,1,"11,0",3,"3,0",7,,7,6,"8237,0",1984, sales executive  -  sales ,True
516,49,No,,722.0, research & development ,13,4,,"1617,0",13,Female,84,3,1, laboratory technician ,1,,"3211,0",22102,1,,14,"3,0",4,1,"10,0",3,"2,0",9,,1,4,"3211,0",1974, laboratory technician  -  research & development ,True
517,45,No,,,,28,2,technical degree,"1719,0",4,Female,48,2,4, research director ,2,Single,"16704,0",17119,1,,11,,3,0,"21,0",2,"3,0",21,"6,0",8,6,"16704,0",1978,,False
518,46,No,,1277.0,,2,3,,,3,Male,74,3,3, sales executive ,4,,,5596,4,,12,"3,0",2,1,,5,"2,0",10,,0,3,,1977,,False
519,27,No,,1131.0,,15,3,,"1870,0",4,Female,77,2,1, research scientist ,1,Married,"4774,0",23844,0,No,19,"3,0",4,1,,2,,7,,7,3,"4774,0",1996,,0
520,42,No,travel rarely,300.0,,2,3,,"2031,0",1,Male,56,3,5, manager ,3,Married,,17312,5,,11,"3,0",1,0,"24,0",2,"2,0",22,,4,14,,1981,,1
521,49,No,,1023.0, sales ,2,3,,"2065,0",4,Male,63,2,2, sales executive ,2,Married,,13243,2,,14,"3,0",4,0,"17,0",3,"2,0",9,,0,8,,1974, sales executive  -  sales ,True
522,29,No,travel rarely,153.0,,15,2,life sciences,"15,0",4,Female,49,2,2, laboratory technician ,3,Single,,12682,0,Yes,12,"3,0",4,0,"10,0",3,"3,0",9,,0,8,,1994,,True
523,34,No,non travel,1065.0,,12,4,marketing,"60,0",12,Male,72,3,2, sales executive ,3,,"4568,0",10034,0,No,20,"4,0",3,0,,2,"3,0",9,,8,7,"4568,0",1989,,False
524,37,No,,1115.0,,1,4,,,1,Male,51,2,2, manufacturing director ,3,Divorced,"5993,0",2689,1,No,18,"3,0",3,1,,2,,7,,0,7,"5993,0",1986,,False
525,36,No,,1195.0,,11,3,,"85,0",2,Male,95,2,2, manufacturing director ,2,Single,"6499,0",22656,1,No,13,"3,0",3,0,"6,0",3,"3,0",6,,0,3,"6499,0",1987,,True
526,45,No,,1316.0,,29,3,,,3,Male,83,3,1, research scientist ,4,Single,"3452,0",9752,5,,13,"3,0",2,0,"9,0",2,"2,0",6,,0,3,"3452,0",1978,,1
527,29,No,travel rarely,665.0,,15,3,,"346,0",3,Male,60,3,1, research scientist ,4,,,22673,1,No,19,"3,0",1,0,"6,0",1,"3,0",6,,1,5,,1994,,False
528,26,No,,1479.0,,1,3,,"384,0",3,Female,84,3,2, manufacturing director ,2,,"6397,0",26767,1,No,20,"4,0",1,1,"6,0",6,"1,0",6,,1,4,"6397,0",1997,,False
529,28,No,,304.0,,9,4,life sciences,"498,0",2,Male,92,3,2, sales executive ,4,Single,,20750,1,No,16,"3,0",4,0,,1,"3,0",7,,0,7,,1995,,1
530,42,No,travel frequently,1368.0,,30,4,technical degree,"551,0",4,Female,Not Available,2,2, healthcare representative ,4,Married,,4386,0,No,11,"3,0",4,3,"7,0",4,"4,0",6,,0,4,,1981,,Yes
531,31,No,travel rarely,828.0, sales ,2,1,life sciences,"604,0",2,Male,77,3,2, sales executive ,4,,,8346,4,Yes,13,"3,0",3,0,"10,0",2,"4,0",6,,0,5,,1992, sales executive  -  sales ,True
532,37,No,travel rarely,799.0,,47,3,,,47,Female,59,3,3, manufacturing director ,4,Single,,23848,4,,17,"3,0",4,0,,3,"4,0",6,,1,2,,1986,,Yes
533,37,No,non travel,142.0,,9,4,,"626,0",1,Male,69,3,3, sales executive ,2,Divorced,,24666,1,No,13,"3,0",4,1,"9,0",6,"3,0",9,,7,7,,1986,,0
534,37,No,travel rarely,446.0,,1,4,life sciences,,2,Female,65,3,2, manufacturing director ,2,Married,,15701,6,,12,"3,0",2,1,"8,0",2,"2,0",6,,4,3,,1986,,0
535,24,No,travel rarely,691.0,,23,3,medical,,2,Male,89,4,1, research scientist ,4,,"2725,0",21630,1,,11,"3,0",2,2,,3,"3,0",6,,1,4,"2725,0",1999,,1
536,50,No,,1246.0,,3,3,,"644,0",1,Male,99,3,5, manager ,2,Married,,7999,1,No,11,"3,0",3,1,,2,"3,0",32,,10,7,,1973,,False
537,34,No,,254.0,,1,2,life sciences,"649,0",2,Male,83,2,1, research scientist ,4,,"3622,0",22794,1,Yes,13,"3,0",4,1,"6,0",3,"3,0",6,,1,3,"3622,0",1989,,True
538,27,No,travel frequently,1410.0,,3,1,medical,"714,0",4,Female,71,4,2, sales executive ,4,,,16673,1,,20,,2,2,,3,"3,0",6,,0,4,,1996,,0
539,25,No,,883.0, sales ,42,1,,"781,0",42,Female,32,3,2, sales executive ,4,Single,"6180,0",22807,1,No,23,"4,0",2,0,"6,0",5,"2,0",6,,1,4,"6180,0",1998, sales executive  -  sales ,False
540,34,No,,304.0, sales ,25,3,other,,4,Male,60,3,2, sales executive ,4,Single,"6274,0",18686,1,No,22,"4,0",3,0,"6,0",5,"3,0",6,,1,4,"6274,0",1989, sales executive  -  sales ,Yes
541,34,No,,121.0, research & development ,2,4,,"804,0",3,Female,86,2,1, research scientist ,1,,"4381,0",7530,1,,11,,3,0,"6,0",3,"3,0",6,,1,3,"4381,0",1989, research scientist  -  research & development ,1
542,35,No,,950.0,,7,3,other,,3,Male,59,3,3, manufacturing director ,3,Single,,18869,3,No,21,"4,0",2,0,"17,0",3,"4,0",8,,1,6,,1988,,False
543,35,No,,1343.0,,16,1,medical,"856,0",16,Female,53,2,1, research scientist ,1,,"2559,0",17852,1,,11,"3,0",4,0,"6,0",3,"2,0",6,,1,1,"2559,0",1988,,0
544,33,No,,827.0, research & development ,1,4,,"998,0",3,Female,84,4,2, healthcare representative ,2,Married,"5488,0",20161,1,Yes,13,"3,0",1,1,,2,"3,0",6,,1,2,"5488,0",1990, healthcare representative  -  research & development ,True
545,29,No,,1107.0,,28,4,life sciences,"1120,0",3,Female,93,3,1, research scientist ,4,Divorced,"2514,0",26968,4,No,22,"4,0",1,1,"11,0",1,"3,0",7,,1,7,"2514,0",1994,,0
546,29,No,travel frequently,490.0, research & development ,10,3,,"1143,0",4,Female,61,3,1, research scientist ,2,divorced,,17940,0,No,14,"3,0",4,2,"8,0",2,"2,0",7,,1,1,,1994, research scientist  -  research & development ,1
547,34,No,,1400.0,,9,1,life sciences,,2,Female,70,3,2, sales executive ,3,Married,,5829,1,,20,"4,0",1,0,,3,"2,0",6,,1,3,,1989,,0
548,28,No,travel rarely,1179.0,,19,4,medical,,4,Male,78,2,1, laboratory technician ,1,Married,"3196,0",12449,1,,12,"3,0",3,3,"6,0",2,"3,0",6,,3,3,"3196,0",1995,,0
549,44,No,,1117.0,,2,1,life sciences,,1,Female,72,4,1, research scientist ,4,Married,,19982,1,,13,"3,0",4,1,"10,0",5,"3,0",10,,7,7,,1979,,0
550,31,No,travel rarely,1332.0, research & development ,11,2,,"1251,0",3,Male,80,3,2, healthcare representative ,1,Married,,17089,1,Yes,12,,4,0,"6,0",2,"2,0",6,,0,1,,1992, healthcare representative  -  research & development ,False
551,26,No,,583.0, research & development ,4,2,life sciences,,3,Male,53,3,1, research scientist ,4,,,9973,1,Yes,20,"4,0",2,0,,2,"2,0",8,,2,2,,1997, research scientist  -  research & development ,0
552,47,No,travel rarely,465.0,,1,3,,"1438,0",1,Male,74,3,1, research scientist ,4,,"3420,0",10205,7,No,12,"3,0",3,1,"17,0",2,"2,0",6,,1,2,"3420,0",1976,,True
553,37,No,,1413.0, research & development ,5,2,,,3,Male,84,4,1, laboratory technician ,3,Single,,25470,0,No,14,"3,0",1,0,"7,0",2,"1,0",6,,1,3,,1986, laboratory technician  -  research & development ,0
554,32,No,,1200.0,,1,4,,"1574,0",4,Male,Not Available,3,2, research scientist ,1,Married,"4087,0",25174,4,,14,"3,0",2,1,"9,0",3,"2,0",6,,1,2,"4087,0",1991,,True
555,32,No,,977.0,,2,3,medical,"1671,0",4,Male,45,3,2, research scientist ,2,Divorced,,25518,0,No,13,"3,0",3,2,"10,0",4,"2,0",9,,1,6,,1991,,1
556,33,No,non travel,530.0,,16,3,life sciences,,3,Female,36,3,2, sales executive ,4,,"5368,0",16130,1,Yes,25,"4,0",3,1,"7,0",2,"3,0",6,,1,2,"5368,0",1990,,0
557,47,Yes,,1093.0, sales ,9,3,,,3,Male,82,1,4, sales executive ,3,Married,"12936,0",24164,7,No,11,,3,0,"25,0",3,"1,0",23,,14,10,"12936,0",1976, sales executive  -  sales ,Yes
558,41,Yes,,1102.0,,1,2,,,2,Female,94,3,2, sales executive ,4,,,19479,8,Yes,11,"3,0",1,0,"8,0",0,"1,0",6,,0,5,,1982,,0
559,35,No,travel rarely,809.0, research & development ,16,3,medical,,1,Male,84,4,1, laboratory technician ,2,Married,,16479,0,,13,"3,0",3,1,"6,0",5,"3,0",5,,0,3,,1988, laboratory technician  -  research & development ,0
560,29,No,travel rarely,1328.0,,2,3,life sciences,"94,0",3,Male,76,3,1, research scientist ,2,Married,,4956,0,No,23,"4,0",4,1,,3,"3,0",5,,0,4,,1994,,False
561,32,No,travel rarely,548.0,,1,3,life sciences,,2,Male,66,3,2, research scientist ,2,,,7346,1,No,17,"3,0",2,2,"10,0",3,"3,0",10,,0,9,,1991,,1
562,35,No,travel rarely,1214.0,,1,3,medical,,2,Male,30,2,1, research scientist ,3,Single,,26278,1,No,18,"3,0",1,0,"6,0",3,"3,0",6,,0,4,,1988,,False
563,56,No,,,,13,3,,"112,0",4,Male,Not Available,1,3, manufacturing director ,4,,,21698,4,No,11,"3,0",1,0,"37,0",3,"2,0",6,,0,2,,1967,,1
564,28,No,,120.0,,4,3,medical,"129,0",2,Male,43,3,2, sales executive ,3,,"4221,0",8863,1,,15,"3,0",2,0,"5,0",3,"4,0",5,,0,4,"4221,0",1995,,Yes
565,25,Yes,travel rarely,240.0,,5,3,,"142,0",3,Male,46,2,2, sales executive ,3,Single,,26959,1,Yes,11,"3,0",4,0,,1,"3,0",6,,0,3,,1998,,Yes
566,56,Yes,,441.0,,14,4,life sciences,"161,0",2,Female,72,3,1, research scientist ,2,,"4963,0",4510,9,,18,"3,0",1,3,"7,0",2,"3,0",5,,4,3,"4963,0",1967,,Yes
567,26,No,,841.0, research & development ,6,3,,"164,0",3,Female,46,2,1, research scientist ,2,Married,,23300,1,,19,"3,0",3,0,"5,0",3,"2,0",5,,4,3,,1997, research scientist  -  research & development ,False
568,32,Yes,,1033.0,,9,3,medical,"190,0",1,Female,41,3,1, laboratory technician ,1,,"4200,0",10224,7,No,22,"4,0",1,0,,2,"4,0",5,,0,4,"4200,0",1991,,False
569,30,No,travel rarely,,,18,3,life sciences,"194,0",1,Female,75,3,1, research scientist ,3,Single,,23910,1,No,14,"3,0",3,0,,4,"2,0",5,,0,4,,1993,,True
570,50,No,travel rarely,1452.0,,11,3,,"226,0",3,Female,53,3,5, manager ,2,,,17053,3,,15,"3,0",2,0,,5,"3,0",5,,4,4,,1973,,0
571,32,No,,120.0,,6,5,life sciences,"231,0",3,Male,43,3,1, research scientist ,3,,,12430,3,No,20,"4,0",1,0,"8,0",2,,5,,1,4,,1991,,False
572,45,No,travel rarely,1268.0,,4,2,,"240,0",3,Female,30,3,2, sales executive ,1,,"5006,0",6319,4,,11,"3,0",1,1,"9,0",3,"4,0",5,,0,3,"5006,0",1978,,0
573,43,No,,,,7,3,,"262,0",4,Male,37,4,1, research scientist ,4,Divorced,,5228,4,No,14,"3,0",4,3,"7,0",3,"4,0",5,,2,2,,1980,,True
574,29,Yes,,121.0,,27,3,marketing,"283,0",2,Female,35,3,3, sales executive ,4,Married,"7639,0",24525,1,,22,"4,0",4,3,"10,0",3,"2,0",10,,1,9,"7639,0",1994,,Yes
575,31,No,non travel,, research & development ,1,4,medical,"308,0",3,Male,90,1,2, manufacturing director ,3,,,4381,0,,12,"3,0",4,1,"6,0",2,"3,0",5,,1,4,,1992, manufacturing director  -  research & development ,Yes
576,33,Yes,,813.0,,14,3,,"325,0",3,Male,58,3,1, laboratory technician ,4,Married,,22149,5,Yes,13,"3,0",3,1,"8,0",2,"1,0",5,,0,4,,1990,,False
577,31,Yes,,307.0,,29,2,,"355,0",3,Male,71,2,1, laboratory technician ,2,,,11652,0,No,11,"3,0",2,0,,2,"4,0",5,,1,4,,1992,,Yes
578,37,No,,228.0,,6,4,,"378,0",3,Male,Not Available,3,2, sales executive ,4,,"6502,0",22825,4,No,14,"3,0",2,1,,5,"4,0",5,,0,1,"6502,0",1986,,1
579,50,No,,797.0, research & development ,4,1,,,1,Male,96,3,5, research director ,2,Divorced,,15815,3,No,14,"3,0",1,2,"28,0",4,"2,0",10,,1,6,,1973, research director  -  research & development ,False
580,42,No,travel frequently,555.0,,26,3,,,3,Female,77,3,4, sales executive ,2,Married,"13525,0",14864,5,,14,"3,0",4,1,,2,,20,,4,8,"13525,0",1981,,True
581,27,No,,1377.0,,2,3,,,4,Male,74,3,2, sales executive ,3,,,5242,1,Yes,11,"3,0",1,0,"5,0",3,"3,0",5,,0,4,,1996,,1
